OID,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
, ,,No,UNIVERSITY,,,,,,,,, |  | ,78.175895261393038,216.935577996246252
,,TPWD,Yes,STATE,,,,,,,,, | TPWD | ,122.474127487625623,755.081957940915231
,0057,,No,UNIVERSITY,0057,,Hatchery Bldg,1994,01,,College Station,77843,Hatchery Bldg |  | 0057,80.458415645874538,309.583792973810432
,0039,ARTF,No,UNIVERSITY,0039,ARTF,Aquaculture Research Teaching Facility,1971,01,300 Aquatic Facility Rd,College Station,77843,Aquaculture Research Teaching Facility | ARTF | 0039,100.530154183486815,446.689175545899104
,0052,,No,UNIVERSITY,0052,,Pump House,1994,01,344 Aquatic Rd,College Station,77843,Pump House |  | 0052,17.338384961656981,18.059522981718228
,0047,,No,UNIVERSITY,0047,,Aquatic Research Center,1972,01,350 Aquatic Facility Rd,College Station,77843,Aquatic Research Center |  | 0047,74.721253965923339,313.137833997589325
,0053,,No,UNIVERSITY,0053,,Hatchery,1994,01,362 Aquatic Rd,College Station,77843,Hatchery |  | 0053,31.724820849970627,51.108870013154224
, ,,No,UNIVERSITY,,,,,,,,, |  | ,7.772546461795768,3.775643003803834
, ,,No,UNIVERSITY,,,,,,,,, |  | ,43.709129993752917,83.382530507078741
, ,,No,UNIVERSITY,,,,,,,,, |  | ,12.682325604593082,9.558274496996134
, ,,No,UNIVERSITY,,,,,,,,, |  | ,25.290716884202187,37.791550486856963
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,35.174174199075068,54.933471579153924
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,114.744503698633281,522.461408738517093
, ,,No,UNIVERSITY,,,,,,,,, |  | ,5.751632490363224,1.926792499473766
, ,,No,UNIVERSITY,,,,,,,,, |  | ,5.991547738828332,2.104158999769002
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,80.996175861997727,380.243833590224085
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,54.335458422987479,130.725475051876003
, ,USDA,No,FEDERAL,,,,,,,,, | USDA | ,17.577949613697243,19.297846063669962
, ,,No,OTHER,,,,,,,,, |  | ,64.071155058175847,210.538207976196531
, ,,No,UNIVERSITY,,,,,,,,, |  | ,10.469744450626699,6.709449495846510
,0007,,No,UNIVERSITY,0007,,Maintenance Machine Shed,1948,01,10720 FM 50,College Station,77843,Maintenance Machine Shed |  | 0007,76.138016362250241,319.103500065833316
,0010,,No,UNIVERSITY,0010,,Implement Barn,1959,01,,College Station,77843,Implement Barn |  | 0010,141.859986084289375,477.307177437646544
,0014,,No,UNIVERSITY,0014,,Implement Storage Shed,1955,01,10720 FM 50,College Station,77843,Implement Storage Shed |  | 0014,97.630615243715965,303.117077986856657
, ,,No,UNIVERSITY,,,,,,,,, |  | ,102.738349473323325,333.926632114603365
,0113,,No,UNIVERSITY,0113,,Farm Superintendent House,1980,01,10724 FM 50,College Station,77843,Farm Superintendent House |  | 0113,61.186337222471600,202.706085474180099
,0114,,No,UNIVERSITY,0114,,Office Metal Building,1974,01,,College Station,77843,Office Metal Building |  | 0114,35.102212664278980,76.466929967716027
, ,,No,UNIVERSITY,,,,,,,,, |  | ,19.837556499384597,22.324714991444573
, ,,No,UNIVERSITY,,,,,,,,, |  | ,4.002210148298389,0.998109499180943
, ,,No,UNIVERSITY,,,,,,,,, |  | ,67.618996986434098,362.635061024646006
